Start;End;Sleep Quality;Regularity;Mood;Heart rate (bpm);Steps;Alarm mode;Air Pressure (Pa);City;Movements per hour;Time in bed (seconds);Time asleep (seconds);Time before sleep (seconds);Window start;Window stop;Did snore;Snore time;Weather temperature (°C);Weather type;Notes
2019-05-12 23:26:13;2019-05-13 06:11:03;60%;0%;;0;8350;Normal;;;35.0;24289.2;22993.8;161.9;2019-05-13 06:00:00;2019-05-13 06:00:00;true;92.0;0.0;No weather;
2019-05-13 22:10:31;2019-05-14 06:10:42;73%;0%;;0;4746;Normal;;;78.6;28810.2;25160.9;192.1;2019-05-14 05:50:00;2019-05-14 05:50:00;true;0.0;0.0;No weather;
2019-05-14 21:43:00;2019-05-15 06:10:41;86%;96%;;0;4007;Normal;;;60.5;30461.5;28430.8;203.1;2019-05-15 05:50:00;2019-05-15 05:50:00;true;74.0;0.0;No weather;
2019-05-15 23:11:51;2019-05-16 06:13:59;77%;92%;;0;6578;Normal;;;45.2;25327.6;23132.5;168.9;2019-05-16 05:50:00;2019-05-16 05:50:00;true;0.0;0.0;No weather;
2019-05-16 23:12:13;2019-05-17 06:20:32;78%;94%;;0;4913;Normal;;;44.6;25698.4;22614.6;171.3;2019-05-17 05:50:00;2019-05-17 05:50:00;true;188.0;0.0;No weather;
2019-05-19 01:25:12;2019-05-19 08:43:11;72%;80%;;0;4020;No alarm;;;58.0;26278.2;20759.8;175.2;;;true;0.0;0.0;No weather;
2019-05-20 22:41:13;2019-05-21 06:22:58;73%;58%;;0;5133;Normal;;;64.0;27705.2;24565.2;184.7;2019-05-21 05:50:00;2019-05-21 05:50:00;true;0.0;0.0;No weather;
2019-05-21 22:39:27;2019-05-22 06:00:55;78%;77%;;0;4927;Normal;;;51.0;26488.8;22780.4;176.6;2019-05-22 05:50:00;2019-05-22 05:50:00;true;279.0;0.0;No weather;
2019-05-22 22:36:59;2019-05-23 06:03:59;84%;98%;;0;6637;Normal;;;43.5;26819.9;25925.9;178.8;2019-05-23 05:50:00;2019-05-23 05:50:00;true;0.0;0.0;No weather;
2019-05-23 23:15:23;2019-05-24 06:33:47;88%;95%;;0;4298;Normal;;;31.6;26304.2;23761.4;175.4;2019-05-24 06:35:00;2019-05-24 06:35:00;true;0.0;0.0;No weather;
2019-05-26 00:21:00;2019-05-26 08:19:28;71%;83%;;0;4741;No alarm;;;69.0;28708.4;26603.1;191.4;;;true;516.0;0.0;No weather;
2019-05-26 22:49:24;2019-05-27 06:09:41;73%;73%;;0;6110;Normal;;;56.5;26417.5;22190.7;176.1;2019-05-27 05:50:00;2019-05-27 05:50:00;true;617.0;0.0;No weather;
2019-05-27 22:31:45;2019-05-28 05:43:07;74%;82%;;0;3999;Normal;;;52.4;25882.0;23466.4;172.5;2019-05-28 05:35:00;2019-05-28 05:35:00;true;0.0;0.0;No weather;
2019-05-28 22:57:37;2019-05-29 06:01:20;75%;86%;;0;5811;Normal;;;49.1;25422.7;22711.0;169.5;2019-05-29 05:50:00;2019-05-29 05:50:00;true;0.0;0.0;No weather;
